title,price,original_price,sale_discount,product_url,image_url
Heart Earrings with Diamonds Sterling Silver,69.99,99.99,30.0,https://www.kay.com/heart-earrings-diamonds-sterling-silver/p/V-182382109,https://www.kay.com/productimages/processed/V-182382109_0_260.jpg?pristine=true
Cushion-Cut Aquamarine & White Lab-Created Sapphire Stud Earrings Sterling Silver,90.99,129.99,30.0,https://www.kay.com/cushioncut-aquamarine-white-labcreated-sapphire-stud-earrings-sterling-silver/p/V-101385502,https://www.kay.com/productimages/processed/V-101385502_0_260.jpg?pristine=true
Diamond Hoop Earrings 1/3 ct tw Sterling Silver 47mm,314.99,449.99,30.0,https://www.kay.com/diamond-hoop-earrings-13-ct-tw-sterling-silver-47mm/p/V-802692309,https://www.kay.com/productimages/processed/V-802692309_0_260.jpg?pristine=true
Lab-Created Sapphire Earrings with Diamonds Sterling Silver,104.99,149.99,30.0,https://www.kay.com/labcreated-sapphire-earrings-diamonds-sterling-silver/p/V-133777108,https://www.kay.com/productimages/processed/V-133777108_0_260.jpg?pristine=true
Oval-Cut Swiss Blue Topaz & White Lab-Created Sapphire Scalloped Frame Gift Set Sterling Silver,139.99,199.99,30.0,https://www.kay.com/ovalcut-swiss-blue-topaz-white-labcreated-sapphire-scalloped-frame-gift-set-sterling-silver/p/V-376901409,https://www.kay.com/productimages/processed/V-376901409_0_260.jpg?pristine=true
Diamond Huggie Hoop Earrings 1/8 ct tw Round-cut 10K White Gold,279.99,399.99,30.0,https://www.kay.com/diamond-huggie-hoop-earrings-18-ct-tw-roundcut-10k-white-gold/p/V-182645200,https://www.kay.com/productimages/processed/V-182645200_0_260.jpg?pristine=true
Disney Treasures Minnie Mouse Mother of Pearl & Diamond Earrings 1/6 ct tw 10K Rose Gold & Sterling Silver,314.99,449.99,30.0,https://www.kay.com/disney-treasures-minnie-mouse-mother-of-pearl-diamond-earrings-16-ct-tw-10k-rose-gold-sterling-silver/p/V-580784801,https://www.kay.com/productimages/processed/V-580784801_0_260.jpg?pristine=true
Amethyst Earrings Cushion-cut Sterling Silver,55.99,79.99,30.0,https://www.kay.com/amethyst-earrings-cushioncut-sterling-silver/p/V-374235909,https://www.kay.com/productimages/processed/V-374235909_0_260.jpg?pristine=true
Certified Round-cut Diamond Earrings 1/4 ct tw 14K White Gold (I/I1),356.30,509.00,30.0,https://www.kay.com/certified-roundcut-diamond-earrings-14-ct-tw-14k-white-gold-ii1/p/V-190265405,https://www.kay.com/productimages/processed/V-190265405_0_260.jpg?pristine=true
Blue & White Lab-Created Sapphire Hoop Earrings Sterling Silver,97.99,139.99,30.0,https://www.kay.com/blue-white-labcreated-sapphire-hoop-earrings-sterling-silver/p/V-135403107,https://www.kay.com/productimages/processed/V-135403107_0_260.jpg?pristine=true
Cultured Pearl & White Lab-Created Sapphire Boxed Set Sterling Silver,209.99,299.99,30.0,https://www.kay.com/cultured-pearl-white-labcreated-sapphire-boxed-set-sterling-silver/p/V-350977803,https://www.kay.com/productimages/processed/V-350977803_0_260.jpg?pristine=true
Emerald Solitaire Earrings 10K Yellow Gold,265.99,379.99,30.0,https://www.kay.com/emerald-solitaire-earrings-10k-yellow-gold/p/V-135344505,https://www.kay.com/productimages/processed/V-135344505_0_260.jpg?pristine=true
