title,price,original_price,sale_discount,product_url,image_url
Turquoise Teardrop Earrings in 14kt Yellow Gold ,577.63,770.17,25.0,https://www.ross-simons.com/turquoise-teardrop-earrings-in-14kt-yellow-gold--JSEZ+552231+WIR+4Y.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw9622357c/images/jewelry-semi-precious-earrings/552231.jpg"
3.20 ct. t.w. Citrine Drop Earrings in 14kt Yellow Gold,437.60,583.46,25.0,https://www.ross-simons.com/3.20-ct.-t.w.-citrine-drop-earrings-in-14kt-yellow-gold-JSEI+828265+WIR+4Y.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw74502786/images/jewelry-semi-precious-earrings/828265.jpg"
9x13mm Cultured Pearl and 12.90 ct. t.w. Multi-Gemstone Drop Earrings in 18kt Gold Over Sterling,115.53,154.03,25.0,https://www.ross-simons.com/9x13mm-cultured-pearl-and-12.90-ct.-t.w.-multi-gemstone-drop-earrings-in-18kt-gold-over-sterling-JFEW+958619+DRP+K6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwbcc00d9b/images/jewelry-pearl-earrings/958619.jpg"
7-7.5mm Black Cultured Pearl and .10 ct. t.w. CZ Drop Earrings in Sterling Silver ,115.53,154.03,25.0,https://www.ross-simons.com/7-7.5mm-black-cultured-pearl-and-.10-ct.-t.w.-cz-drop-earrings-in-sterling-silver--JFEW+958877+DRP+SS.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw146dcd71/images/jewelry-pearl-earrings/958877.jpg"
1.30 ct. t.w. Sapphire Love Knot Earrings in Sterling Silver,280.06,373.42,25.0,https://www.ross-simons.com/1.30-ct.-t.w.-sapphire-love-knot-earrings-in-sterling-silver-JPES+845141+PST+SS.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw97fecd89/images/jewelry-precious-stones-earrings/845141.jpg"
7.00 ct. t.w. CZ Stud Earrings in 14kt Yellow Gold,262.56,350.08,25.0,https://www.ross-simons.com/7.00-ct.-t.w.-cz-stud-earrings-in-14kt-yellow-gold-JZEX+905383+STD+4Y.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw20841a9e/images/jewelry-cubic-zirconia-earrings/905383.jpg"
14kt Yellow Gold Graduated Rosette-Knot Drop Earrings,641.81,855.75,25.0,https://www.ross-simons.com/14kt-yellow-gold-graduated-rosette-knot-drop-earrings-JGEX+917216+LVB+4Y.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw35064831/images/jewelry-gold-earrings/917216.jpg"
14kt Yellow Gold Small Teardrop-Shaped Stud Earrings,437.60,583.46,25.0,https://www.ross-simons.com/14kt-yellow-gold-small-teardrop-shaped-stud-earrings-JGEX+917614+STD+4Y.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw78aa47b2/images/jewelry-gold-earrings/917614.jpg"
Floating Turquoise Drop Earrings in Sterling Silver,245.05,326.74,25.0,https://www.ross-simons.com/floating-turquoise-drop-earrings-in-sterling-silver-JSEZ+970052+LVB+SS.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwb2766ecf/images/jewelry-semi-precious-earrings/970052.jpg"
8-8.5mm Cultured Pearl and Bead Chain Drop Earrings in 14kt Yellow Gold,320.90,427.87,25.0,https://www.ross-simons.com/8-8.5mm-cultured-pearl-and-bead-chain-drop-earrings-in-14kt-yellow-gold--JFEW+896032+DRP+4Y.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw6dbe00ef/images/jewelry-pearl-earrings/896032.jpg"
"3-4mm Cultured Pearl Dangle Hoop Earrings in 18kt Gold Over Sterling. 1 1/2""",138.86,185.15,25.0,https://www.ross-simons.com/3-4mm-cultured-pearl-dangle-hoop-earrings-in-18kt-gold-over-sterling.-1-1%2F2-quot--JFEW+963701+HOP+K6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw26959efa/images/jewelry-pearl-earrings/963701.jpg"
"14kt White Gold Puffed Dome Hoop Earrings. 1/2""",641.81,855.75,25.0,https://www.ross-simons.com/14kt-white-gold-puffed-dome-hoop-earrings.-1%2F2-quot--JGEX+154882+PST+4W.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw44fb7ef8/images/jewelry-gold-earrings/154882.jpg"
14kt Yellow Gold Double Loop Circle Earring Jackets,320.90,427.87,25.0,https://www.ross-simons.com/14kt-yellow-gold-double-loop-circle-earring-jackets-JGJX+181211+PST+4Y.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwfde5f8a7/images/jewelry-gold-earring-jackets/181211.jpg"
Italian 6-16mm Cultured Baroque Pearl and 2.50 ct. t.w. CZ Daisy Drop Earrings in 18kt Gold Over Sterling,150.53,200.71,25.0,https://www.ross-simons.com/italian-6-16mm-cultured-baroque-pearl-and-2.50-ct.-t.w.-cz-daisy-drop-earrings-in-18kt-gold-over-sterling-JFEW+962889+DRP+K6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw2f08492b/images/jewelry-pearl-earrings/962889.jpg"
