Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
8-9mm Fresh Water Cultured Pearl and Multi Blue Enamel Sterling Silver Drop Earrings,149.99,149.99,0.0,https://www.reeds.com/8-9mm-fresh-water-cultured-pearl-and-multi-blue-enamel-sterling-silver-drop-earrings-plu622191-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/8/-/8-9mm_fresh_water_cultured_pearl_and_multi_blue_enamel_sterling_silver_drop_earrings-1-622191_fw-hxbeb62ed3_1.jpg,Pearl,Sterling+Silver
9-10mm Fresh Water Cultured Pearl and White Topaz Sterling Silver Drop Earrings,249.99,249.99,0.0,https://www.reeds.com/9-10mm-fresh-water-cultured-pearl-and-white-topaz-sterling-silver-drop-earrings-plu629842-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/9/-/9-10mm_fresh_water_cultured_pearl_and_white_topaz_sterling_silver_drop_earrings-1-629842_fw-hx841c36a5_1.jpg,Pearl,Sterling+Silver
7-7.5mm Fresh Water Cultured Pearl and Teal Enamel Sterling Silver Hoop Earrings,249.99,249.99,0.0,https://www.reeds.com/7-7-5mm-fresh-water-cultured-pearl-and-teal-enamel-sterling-silver-hoop-earrings-plu621242-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/7/-/7-7_5mm_fresh_water_cultured_pearl_and_teal_enamel_sterling_silver_hoop_earrings-1-621242_fw-hx8ca2c5f0.jpg,Pearl,Sterling+Silver
7.5-8mm Fresh Water Cultured Pearl and Multi Blue Enamel Sterling Silver Hoop Earrings,399.99,399.99,0.0,https://www.reeds.com/7-5-8mm-fresh-water-cultured-pearl-and-multi-blue-enamel-sterling-silver-hoop-earrings-plu622604-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/7/_/7_5-8mm_fresh_water_cultured_pearl_and_multi_blue_enamel_sterling_silver_hoop_earrings-1-622604_fw-hx882cad80_1.jpg,Pearl,Sterling+Silver
7-7.5mm Fresh Water Cultured Pearl and Light Pink Enamel Sterling Silver Hoop Earrings,249.99,249.99,0.0,https://www.reeds.com/7-7-5mm-fresh-water-cultured-pearl-and-light-pink-enamel-sterling-silver-hoop-earrings-plu622245-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/7/-/7-7_5mm_fresh_water_cultured_pearl_and_light_pink_enamel_sterling_silver_hoop_earrings-1-622245_fw-hx820e75e6_1.jpg,Pearl,Sterling+Silver
7-7.5mm Fresh Water Cultured Pearl and Hot Pink Enamel Sterling Silver Hoop Earrings,249.99,249.99,0.0,https://www.reeds.com/7-7-5mm-fresh-water-cultured-pearl-and-hot-pink-enamel-sterling-silver-hoop-earrings-plu622242-fw.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/7/-/7-7_5mm_fresh_water_cultured_pearl_and_hot_pink_enamel_sterling_silver_hoop_earrings-1-622242_fw-hx5443c949.jpg,Pearl,Sterling+Silver
MIKIMOTO Classic Akoya Cultured Pearl and Diamond Drop Earrings in Yellow Gold,"6,500.00","6,500.00",0.0,https://www.reeds.com/mikimoto-classic-akoya-cultured-pearl-and-diamond-drop-earrings-in-yellow-gold-plu20389169.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_classic_akoya_cultured_pearl_and_diamond_drop_earrings_in_yellow_gold-1-20389169-hxa407236f.jpg,Pearl,Yellow+Gold
Freshwater Cultured Pearl and Yellow Gold Drop Earrings,899.99,899.99,0.0,https://www.reeds.com/freshwater-cultured-pearl-and-yellow-gold-drop-earrings-plu14liea48y.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/f/r/freshwater_cultured_pearl_and_yellow_gold_drop_earrings-1-14liea48y-hx6b3cd019.jpg,Pearl,Yellow+Gold
MIKIMOTO V Code Akoya Cultured Pearl Earrings in Yellow Gold,"2,900.00","2,900.00",0.0,https://www.reeds.com/mikimoto-v-code-akoya-cultured-pearl-earrings-in-yellow-gold-plu20371647.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/m/i/mikimoto_v_code_akoya_cultured_pearl_earrings_in_yellow_gold-1-20371647-hx937abe4f.jpg,Pearl,Yellow+Gold
ALOR Freshwater Cultured Pearl Black Cable Stainless Steel and White Gold Hoop Earrings,250.00,250.00,0.0,https://www.reeds.com/alor-freshwater-cultured-pearl-black-cable-stainless-steel-and-white-gold-hoop-earrings-plu20372553.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/a/l/alor_freshwater_cultured_pearl_black_cable_stainless_steel_and_white_gold_hoop_earrings-1-20372553-hx817938e8.jpg,Pearl,Stainless+Steel
