title,price,brand,availability,product_url,price_off
Cooler Master MasterBox MB320L ARGB TG Mini Tower mATX Case,76.0,Cooler Master,In Stock,https://www.umart.com.au/product/cooler-master-masterbox-mb320l-argb-tg-mini-tower-matx-case-54853,
be quiet! Silent Base 802 ATX Case - Black,228.5,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-silent-base-802-atx-case-black-60900,
Thermaltake H200 Tempered Glass RGB Mid Tower ATX Case - Black,79.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-h200-tempered-glass-rgb-mid-tower-atx-case-black-52531,Save $30.0
Antec VSK-4000B-U3 - Black Mid-Tower Case,51.0,Antec,In Stock,https://www.umart.com.au/product/antec-vsk-4000b-u3-black-mid-tower-case-27633,
Corsair 3000D RGB AIRFLOW Mid-Tower ATX Case - Black,155.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-3000d-rgb-airflow-mid-tower-atx-case-black-72456,
Gamemax Mesh BOX PRO ATX Black No fan,78.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-mesh-box-pro-atx-black-no-fan-72944,
Corsair 4000D TG Mid Tower ATX Case - Black,145.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-4000d-tg-mid-tower-atx-case-black-56808,Save $4.0
Thermaltake S300 Tempered Glass Mid Tower Case Black Edition,78.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-s300-tempered-glass-mid-tower-case-black-edition-54409,Save $46.0
Lian Li O11 Vision Three Side TG E-ATX Case - White,249.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-o11-vision-three-side-tg-e-atx-case-white-74891,
Gigabyte C301 RGB Mid Tower EATX Case - White,119.0,Gigabyte,In Stock,https://www.umart.com.au/product/gigabyte-c301-rgb-mid-tower-eatx-case-white-68891,Save $30.0
Lian Li LanCool 216RX RGB Mid Tower ATX Case - Black,176.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-lancool-216rx-rgb-mid-tower-atx-case-black-66309,
Lian Li O11 Vision Three Side TG E-ATX Case - Black,238.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-o11-vision-three-side-tg-e-atx-case-black-74890,
Corsair RGB LED Lighting Pro Expansion Kit,31.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-rgb-led-lighting-pro-expansion-kit-39904,36% Off!
Corsair 5000D Airflow TG Mid Tower ATX Case - Black,219.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-5000d-airflow-tg-mid-tower-atx-case-black-58448,Save $20.0
Deepcool Matrexx 50 ARGB 4F LD TG Mid Tower E-ATX Case Black - DP-ATX-MATREXX50-AR-4F-LD,97.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-matrexx-50-argb-4f-ld-tg-mid-tower-e-atx-case-black-dp-atx-matrexx50-ar-4f-ld-63078,
Lian Li O11 Air Mini Mesh TG E-ATX Chassis - Black,169.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-o11-air-mini-mesh-tg-e-atx-chassis-black-61710,
Deepcool MACUBE 110 Tempered Glass Micro ATX Case - Black,65.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-macube-110-tempered-glass-micro-atx-case-black-68351,
Lian Li PC-O11 Dynamic TG Mini ATX Case - Snow,179.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-pc-o11-dynamic-tg-mini-atx-case-snow-58641,
SilverStone FARA 513 ATX Case - Black,69.0,SilverStone,In Stock,https://www.umart.com.au/product/silverstone-fara-513-atx-case-black-67883,
Lian Li Lancool III Mid Tower E-ATX Case Black,239.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-lancool-iii-mid-tower-e-atx-case-black-64776,
InWin A1 Prime RGB Mini ITX Case with 750W PSU - Black,245.0,Inwin,In Stock,https://www.umart.com.au/product/inwin-a1-prime-rgb-mini-itx-case-with-750w-psu-black-74757,
NZXT H7 V1 Flow Mid-Tower Airflow E-ATX Case - All White,189.0,NZXT,In Stock,https://www.umart.com.au/product/nzxt-h7-v1-flow-mid-tower-airflow-e-atx-case-all-white-63719,Save $10.0
be quiet! Shadow Base 800 E-ATX Case,213.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-shadow-base-800-e-atx-case-72168,
Thermaltake Ceres 300 TG ARGB Mid-Tower ATX Case - Black,129.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-ceres-300-tg-argb-mid-tower-atx-case-black-71179,
Lian Li O11 Air Mini Mesh TG E-ATX Chassis - White,175.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-o11-air-mini-mesh-tg-e-atx-chassis-white-61709,
DeepCool CH560 Tempered Glass Mid Tower Case E-ATX - Black,109.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-ch560-tempered-glass-mid-tower-case-e-atx-black-72764,Save $20.0
be quiet! Shadow Base 800 DX E-ATX Case,235.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-shadow-base-800-dx-e-atx-case-72170,
Thermaltake Level 20 MT Tempered Glass ARGB Case with 3 RGB Fans,98.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-level-20-mt-tempered-glass-argb-case-with-3-rgb-fans-49101,Save $20.0
APC AR8136BLK 1U Toolless Blanking Panel - Single,87.0,APC,In Stock,https://www.umart.com.au/product/apc-ar8136blk-1u-toolless-blanking-panel-single-44956,
Antec P20C ARGB Mid Tower E-ATX Gaming Case,139.0,Antec,In Stock,https://www.umart.com.au/product/antec-p20c-argb-mid-tower-e-atx-gaming-case-71456,
Antec NX500M Mid Tower mATX Gaming Case,62.0,Antec,In Stock,https://www.umart.com.au/product/antec-nx500m-mid-tower-matx-gaming-case-71367,
Thermaltake H200 Tempered Glass RGB Mid Tower ATX Case - Snow Edition,79.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-h200-tempered-glass-rgb-mid-tower-atx-case-snow-edition-52532,Save $36.0
be quiet! Pure Base 500 Mid Tower ATX Case - Black,89.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-pure-base-500-mid-tower-atx-case-black-55014,Save $20.0
CoolerMaster Masterbox TD300 ARGB Mesh Micro ATX Case - White,99.0,Cooler Master,In Stock,https://www.umart.com.au/product/coolermaster-masterbox-td300-argb-mesh-micro-atx-case-white-66931,Save $19.0
Thermaltake Divider 500 TG Air Mid Tower Case - Black Edition,199.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-divider-500-tg-air-mid-tower-case-black-edition-61247,Save $30.0
Thermaltake View 300 MX TG Mid Tower E-ATX Case - White,169.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-view-300-mx-tg-mid-tower-e-atx-case-white-66095,Save $80.0
Thermaltake Divider 500 TG Air Mid Tower Case - Snow White Edition,199.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-divider-500-tg-air-mid-tower-case-snow-white-edition-61248,Save $30.0
be quiet! Shadow Base 800 FX E-ATX Case,286.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-shadow-base-800-fx-e-atx-case-72172,
Deepcool MATREXX 40 TG mATX Case,53.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-matrexx-40-tg-matx-case-58295,
Thermaltake Divider 200 TG Micro-ATX Case - White Snow,178.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-divider-200-tg-micro-atx-case-white-snow-61251,
Thermaltake Versa H18 Window Micro Case,59.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-versa-h18-window-micro-case-41462,
Cooler Master HAF 700 EVO ARGB Full Tower E-ATX Case,549.0,Cooler Master,In Stock,https://www.umart.com.au/product/cooler-master-haf-700-evo-argb-full-tower-e-atx-case-62953,Save $100.0
AZZA Neo 500 Mid Tower ATX Case,89.0,AZZA,In Stock,https://www.umart.com.au/product/azza-neo-500-mid-tower-atx-case-75064,
Cooler Master Qube 500 Flatpack Macaron Edition Mid-Tower E-ATX Case,149.0,Cooler Master,In Stock,https://www.umart.com.au/product/cooler-master-qube-500-flatpack-macaron-edition-mid-tower-e-atx-case-74782,
Lian Li PC-O11 Dynamic Evo TG Mid Tower E-ATX Case - White,269.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-pc-o11-dynamic-evo-tg-mid-tower-e-atx-case-white-61969,
DeepCool CH510 Tempered Glass Mid Tower ATX Case Black - R-CH510-BKNNE1-G-1,99.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-ch510-tempered-glass-mid-tower-atx-case-black-r-ch510-bknne1-g-1-64649,
Thermaltake Divider 370 ARGB TG Mid Tower ATX Case - Black,129.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-divider-370-argb-tg-mid-tower-atx-case-black-65377,Save $40.0
Corsair 3000D RGB AIRFLOW Mid-Tower ATX Case - White,173.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-3000d-rgb-airflow-mid-tower-atx-case-white-72493,
CoolerMaster MasterBox MB600L with NEX 500W 230V PSU ATX Case,115.0,Cooler Master,In Stock,https://www.umart.com.au/product/coolermaster-masterbox-mb600l-with-nex-500w-230v-psu-atx-case-69863,
