Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
"Diamond Abstract Flower Stud Earrings 1/15 ct tw Round-cut Sterling Silver


Online Exclusive",139.99,199.99,30.0,https://www.kay.com/diamond-abstract-flower-stud-earrings-115-ct-tw-roundcut-sterling-silver/p/V-393918305,https://www.kay.com/productimages/processed/V-393918305_0_260.jpg?pristine=true,Diamond,Sterling+Silver
"Diamond Sunburst Stud Earrings 1/2 ct tw Round-cut 10K White Gold


Clearance","1,199.99","1,499.99",20.0,https://www.kay.com/diamond-sunburst-stud-earrings-12-ct-tw-roundcut-10k-white-gold/p/V-393919004,https://www.kay.com/productimages/processed/V-393919004_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Marquise Dangle Hoop Earrings 1/2 ct tw Round-cut 10K White Gold


Online Exclusive",909.99,"1,299.99",30.0,https://www.kay.com/diamond-marquise-dangle-hoop-earrings-12-ct-tw-roundcut-10k-white-gold/p/V-393919105,https://www.kay.com/productimages/processed/V-393919105_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Teardrop Dangle Earrings 1/2 ct tw Round & Baguette-cut 10K White Gold


Online Exclusive",909.99,"1,299.99",30.0,https://www.kay.com/diamond-teardrop-dangle-earrings-12-ct-tw-round-baguettecut-10k-white-gold/p/V-393919206,https://www.kay.com/productimages/processed/V-393919206_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Asymmetric Teardrop Hoop Earrings 1/3 ct tw Round-cut 10K White Gold


Clearance",719.99,899.99,20.0,https://www.kay.com/diamond-asymmetric-teardrop-hoop-earrings-13-ct-tw-roundcut-10k-white-gold/p/V-393919307,https://www.kay.com/productimages/processed/V-393919307_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Double Row Hoop Earrings 1/3 ct tw Round & Baguette-cut 10K White Gold


Clearance",799.99,999.99,20.0,https://www.kay.com/diamond-double-row-hoop-earrings-13-ct-tw-round-baguettecut-10k-white-gold/p/V-393919408,https://www.kay.com/productimages/processed/V-393919408_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Double Row Hoop Earrings 1/2 ct tw Baguette & Round-cut 10K White Gold


Clearance","1,119.99","1,399.99",20.0,https://www.kay.com/diamond-double-row-hoop-earrings-12-ct-tw-baguette-roundcut-10k-white-gold/p/V-393919509,https://www.kay.com/productimages/processed/V-393919509_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Three-Stone Hoop Earrings 1/5 ct tw Round-cut 10K White Gold


Online Exclusive",559.99,799.99,30.0,https://www.kay.com/diamond-threestone-hoop-earrings-15-ct-tw-roundcut-10k-white-gold/p/V-393919600,https://www.kay.com/productimages/processed/V-393919600_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Hoop Earrings 1/2 ct tw Baguette & Round-cut 10K White Gold


Online Exclusive",909.99,"1,299.99",30.0,https://www.kay.com/diamond-hoop-earrings-12-ct-tw-baguette-roundcut-10k-white-gold/p/V-393919701,https://www.kay.com/productimages/processed/V-393919701_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Leaf Drop Earrings 1/4 ct tw Round-cut 10K White Gold


Online Exclusive",489.99,699.99,30.0,https://www.kay.com/diamond-leaf-drop-earrings-14-ct-tw-roundcut-10k-white-gold/p/V-393919802,https://www.kay.com/productimages/processed/V-393919802_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Double Teardrop Dangle Earrings 1/3 ct tw Round-cut 10K White Gold


Online Exclusive",839.99,"1,199.99",30.0,https://www.kay.com/diamond-double-teardrop-dangle-earrings-13-ct-tw-roundcut-10k-white-gold/p/V-393919903,https://www.kay.com/productimages/processed/V-393919903_0_260.jpg?pristine=true,Diamond,Gold
"Round-Cut Diamond Cushion-Shaped Outline Stud Earrings 1/15 ct tw  10K White Gold


Online Exclusive",209.99,299.99,30.0,https://www.kay.com/roundcut-diamond-cushionshaped-outline-stud-earrings-115-ct-tw-10k-white-gold/p/V-393953702,https://www.kay.com/productimages/processed/V-393953702_0_260.jpg?pristine=true,Diamond,Gold
"Baguette & Round-Cut Diamond Stud Earrings 3/8 ct tw 10K Yellow Gold


Online Exclusive",839.99,"1,199.99",30.0,https://www.kay.com/baguette-roundcut-diamond-stud-earrings-38-ct-tw-10k-yellow-gold/p/V-393976307,https://www.kay.com/productimages/processed/V-393976307_0_260.jpg?pristine=true,Diamond,Gold
"Hallmark Diamonds Looping Heart Earrings 1/6 ct tw 10K Yellow Gold


Online Exclusive",489.99,699.99,30.0,https://www.kay.com/hallmark-diamonds-looping-heart-earrings-16-ct-tw-10k-yellow-gold/p/V-393985407,https://www.kay.com/productimages/processed/V-393985407_0_260.jpg?pristine=true,Diamond,Gold
"Multi-Diamond Cobblestone Heart Stud Earrings 1/3 ct tw 10K Yellow Gold


Online Exclusive",699.99,999.99,30.0,https://www.kay.com/multidiamond-cobblestone-heart-stud-earrings-13-ct-tw-10k-yellow-gold/p/V-393996208,https://www.kay.com/productimages/processed/V-393996208_0_260.jpg?pristine=true,Diamond,Gold
"Diamond Cobblestone Oval Hoop Earrings 1 ct tw 10K White Gold


Online Exclusive","1,959.99","2,799.99",30.0,https://www.kay.com/diamond-cobblestone-oval-hoop-earrings-1-ct-tw-10k-white-gold/p/V-394023004,https://www.kay.com/productimages/processed/V-394023004_0_260.jpg?pristine=true,Diamond,Gold
Unstoppable Love Diamond Double Hoop Earrings 1/4 ct tw 10K Two-Tone Gold,699.99,999.99,30.0,https://www.kay.com/unstoppable-love-diamond-double-hoop-earrings-14-ct-tw-10k-twotone-gold/p/V-401565104,https://www.kay.com/productimages/processed/V-401565104_0_260.jpg?pristine=true,Diamond,Gold
Le Vian Venetian Mosaic Diamond Hoop Earrings 1/3 ct tw 14K Honey Gold,"1,259.99","1,799.99",30.0,https://www.kay.com/le-vian-venetian-mosaic-diamond-hoop-earrings-13-ct-tw-14k-honey-gold/p/V-431976909,https://www.kay.com/productimages/processed/V-431976909_0_260.jpg?pristine=true,Diamond,Gold
Le Vian Diamond Stud Earrings 5/8 ct tw 14K Honey Gold,"1,749.99","2,499.99",30.0,https://www.kay.com/le-vian-diamond-stud-earrings-58-ct-tw-14k-honey-gold/p/V-431997802,https://www.kay.com/productimages/processed/V-431997802_0_260.jpg?pristine=true,Diamond,Gold
"Le Vian® Diamond Enamel Hoop Earrings 3/8 ct tw 14K Honey Gold


Clearance","1,609.99","2,299.99",30.0,https://www.kay.com/le-vian%C2%AE-diamond-enamel-hoop-earrings-38-ct-tw-14k-honey-gold/p/V-491498301,https://www.kay.com/productimages/processed/V-491498301_0_260.jpg?pristine=true,Diamond,Gold
True Fans Greenbay Packers 1/10 CT. T.W. Diamond Logo Earrings in Sterling Silver,209.99,299.99,30.0,https://www.kay.com/true-fans-greenbay-packers-110-ct-tw-diamond-logo-earrings-sterling-silver/p/V-491529703,https://www.kay.com/productimages/processed/V-491529703_0_260.jpg?pristine=true,Diamond,Sterling+Silver
"Diamond Double Hoop Earrings 1/4 ct tw Sterling Silver


Online Exclusive",209.99,299.99,30.0,https://www.kay.com/diamond-double-hoop-earrings-14-ct-tw-sterling-silver/p/V-500094305,https://www.kay.com/productimages/processed/V-500094305_0_260.jpg?pristine=true,Diamond,Sterling+Silver
"Diamond Dangle Earrings 3/4 ct tw Round-cut Sterling Silver


Online Exclusive",629.99,899.99,30.0,https://www.kay.com/diamond-dangle-earrings-34-ct-tw-roundcut-sterling-silver/p/V-500318100,https://www.kay.com/productimages/processed/V-500318100_0_260.jpg?pristine=true,Diamond,Sterling+Silver
"Diamond Abstract Flower Stud Earrings 1/8 ct tw Round-cut Sterling Silver


Sale",174.99,349.99,50.0,https://www.kay.com/diamond-abstract-flower-stud-earrings-18-ct-tw-roundcut-sterling-silver/p/V-513325403,https://www.kay.com/productimages/processed/V-513325403_0_260.jpg?pristine=true,Diamond,Sterling+Silver
