Title,Url
Pilot program at Taronga Zoo helping dementia patients make new memories,https://www.9news.com.au/national/taronga-zoo-pilot-program-for-dementia-patients/4308fd83-d6d9-492c-9350-b5b91f06cc08
Prison officer cleared over escaping inmate's death,https://www.9news.com.au/national/officer-a-court-news-jury-finds-not-guilty-dwayne-johnstone-death-lismore-new-south-wales/85f3a5b5-4a18-4ce2-beed-8b150b5c6958
Police hunt for two men after truck carrying $6k of stolen diesel rolls on Sydney motorway,https://www.9news.com.au/national/new-south-wales-news-truck-rollover-on-m7-sparks-traffic-chaos/9add3d5e-360a-4c55-8093-08ba6569dae0
Second pet python found after month-long disappearance in Sydney's east,https://www.9news.com.au/national/coogee-news-second-domestic-snake-found-sydney-east/4fc1a663-5178-4fb9-96e8-ffee365cb570
Man accused of shooting spree in NSW Mid North Coast faces court,https://www.9news.com.au/national/nsw-mid-north-coast-shooting-spree-port-macquarie-court-murder-accused/bf37351a-1778-48ec-a95d-887a155d90c3
Man dies after being hit by bus in Sydney's south-west,https://www.9news.com.au/national/liverpool-crash-pedestrian-dies-hit-by-bus-sydney-south-west/6eba1c4a-0825-4828-87c1-b530e5e4e2b5
Caddick's husband gives up fight for fraudster's goods,https://www.9news.com.au/national/melissa-caddick-update-husband-gives-up-fight-luxury-goods-sydney-courts/08937a0b-cbfe-4d3e-afe6-e8ca475b01c7
'Starvation event' behind deaths of hundreds of seabirds found on beaches,https://www.9news.com.au/national/bodies-of-shearwater-birds-washed-up-on-beaches-along-eastern-australia/57625b9a-0090-458b-9a6f-1f350da17fc9
Sydney's 'secret' road tolls put drivers on hook for $120 billion,https://www.9news.com.au/national/sydney-secret-road-toll-bill-will-hit-120-billion-by-2060-new-data-reveals/518a7bea-4182-4aef-b7b9-af1306837ecb
Fears of significant delays after 'cyber security incident' shuts port operator,https://www.9news.com.au/national/dp-world-australia-major-ports-shut-after-cyber-security-incident/296b75df-adc6-4d10-ad6c-67c6b5a8521d
Pedestrian hit by car on the Sydney Harbour Bridge,https://www.9news.com.au/national/pedestrian-in-a-critical-condition-after-being-hit-by-car-on-the-sydney-harbour-bridge/52d5f616-271f-4dd4-b958-0486c32020d9
Man charged with murder after 'series of shooting incidents',https://www.9news.com.au/national/port-macquarie-news-man-charged-with-murder-sam-dieter-liszczak/3ee98334-c144-4210-be3e-ae70686c39f4
Police recover five cars allegedly stolen across Sydney,https://www.9news.com.au/national/sydney-news-russell-lea-kingsford-police-recover-five-allegedly-stolen-cars/e97c3f0d-f608-40e2-b9b2-4b52d33cbc69
Delivery rider dies after crash in Sydney's Inner West,https://www.9news.com.au/national/st-peters-delivery-rider-dies-after-two-vehicle-crash/ad1c3aef-de0c-4f11-8e96-37d0aaa7258c
Mask-wearing encouraged once again as COVID-19 cases rise,https://www.9news.com.au/health/covid-19-update-cases-rising-new-south-wales-mask-advice/86be5964-e66b-4ba6-87f1-779cae075630
"Man dies after truck rolls, bursts into flames on Sydney motorway",https://www.9news.com.au/national/truck-crash-man-dies-cecil-hills-sydney/249fe797-8f4f-46e4-bee5-92f6605dce04
Dozen of calls for help as major storms hit Sydney,https://www.9news.com.au/national/east-coast-facing-flood-risk-as-storms-lash-parts-of-nsw-and-vic/29722956-e96f-452a-af80-04e040e45f76
TV blamed for morning fire that gutted Sydney home,https://www.9news.com.au/national/townhouse-fire-park-road-auburn-sydney-home-damaged/30890e2b-9961-499f-83c9-ea045cc91430
