title,price,original_price,sale_discount,product_url,image_url,stone_type,metal_type
4 4/5 CT DEW Created Moissanite Three-stone Earrings In Sterling Silver,114.99,785.00,85.4,https://www.jomashop.com/amour-sterling-silver-4-4-5-ct-dew-created-moissanite-three-stone-earrings-jms009257.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/a/m/amour-sterling-silver-4-45-ct-dew-created-moissanite-threestone-earrings-jms009257_2.jpg?width=350&height=350,['Moissanite'],['Silver']
.50ct Small 14K Rose Gold 6 Diamond Tiny Round Hoop Earrings,584.99,"4,000.00",85.4,https://www.jomashop.com/lb-exclusive-50ct-small-14k-rose-gold-6-diamond-tiny-round-hoop-earrings-aer-14255r-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-50ct-small-14k-rose-gold-6-diamond-tiny-round-hoop-earrings-aer14255rr_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.50 ct Diamond Huggie Hoop Earrings,584.99,"4,000.00",85.4,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-50-ct-diamond-huggie-hoop-earrings-aer-14255w-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-050-ct-diamond-huggie-hoop-earrings-aer14255ww_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.86ct Diamond Hoop Earrings,"1,024.99","6,975.00",85.3,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-86ct-diamond-hoop-earrings-aer-9831-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-086ct-diamond-hoop-earrings-aer9831w_2.jpg?width=350&height=350,['Diamond'],['Gold']
Petite .50ct 14K White Gold 2-Row Diamond Hoop Earrings,654.99,"4,450.00",85.3,https://www.jomashop.com/lb-exclusive-petite-50ct-14k-white-gold-2-row-diamond-hoop-earrings-aer-12695w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-petite-50ct-14k-white-gold-2row-diamond-hoop-earrings-aer12695w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Rose Gold .51 Carat VS1 G Color Diamond Hoop Huggies Earrings,699.99,"4,750.00",85.3,https://www.jomashop.com/lb-exclusive-14k-rose-gold-51-carat-vs1-g-color-diamond-hoop-huggies-earrings-aer-9832r-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-rose-gold-51-carat-vs1-g-color-diamond-hoop-huggies-earrings-aer9832rr_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold Diamond Large Hoop Earrings,"3,749.99","25,500.00",85.3,https://www.jomashop.com/lb-exclusive-14k-white-gold-diamond-large-hoop-earrings-aer-9844w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-diamond-large-hoop-earrings-aer9844w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Rose Gold 0.66 ct Diamond Inside Out Hoop Earrings,799.99,"5,425.00",85.3,https://www.jomashop.com/lb-exclusive-14k-rose-gold-0-66-ct-diamond-inside-out-hoop-earrings-aer-4782-sp-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-rose-gold-066-ct-diamond-inside-out-hoop-earrings-aer4782spr_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.59ct Diamond Huggie Hoop Earrings,779.99,"5,300.00",85.3,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-59ct-diamond-huggie-hoop-earrings-aer-4846-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-059ct-diamond-huggie-hoop-earrings-aer4846w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.40 ct Diamond Earrings,629.99,"4,275.00",85.3,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-40-ct-diamond-earrings-aer-15717w-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-040-ct-diamond-earrings-aer15717ww_2.jpg?width=350&height=350,['Diamond'],['Gold']
